,feature,category,num_samples,precision,recall,fbeta
0,workclass,Self-emp-not-inc,511,0.5278969957081545,0.831081081081081,0.6456692913385828
1,workclass,State-gov,290,0.6146788990825688,0.8375,0.708994708994709
2,workclass,Private,4417,0.5987306064880112,0.8464606181455633,0.701363073110285
3,workclass,Local-gov,415,0.574585635359116,0.9285714285714286,0.7098976109215016
4,workclass,Self-emp-inc,218,0.6853932584269663,0.953125,0.7973856209150327
5,workclass,Federal-gov,179,0.6923076923076923,0.9402985074626866,0.7974683544303798
6,workclass,Without-pay,3,0.0,1.0,0.0
7,education,HS-grad,2020,0.4954954954954955,0.7554945054945055,0.5984766050054406
8,education,Some-college,1338,0.5435244161358811,0.8827586206896552,0.6727989487516426
9,education,Bachelors,973,0.6660714285714285,0.9255583126550868,0.77466251298027
10,education,Masters,300,0.7156398104265402,0.9263803680981595,0.8074866310160427
11,education,Assoc-acdm,203,0.5531914893617021,0.9454545454545454,0.6979865771812082
12,education,10th,161,1.0,0.21428571428571427,0.35294117647058826
13,education,9th,105,1.0,0.0,0.0
14,education,Assoc-voc,260,0.49166666666666664,0.8805970149253731,0.6310160427807487
15,education,5th-6th,57,1.0,0.5,0.6666666666666666
16,education,11th,198,0.8571428571428571,0.6666666666666666,0.75
17,education,Prof-school,115,0.8431372549019608,0.9885057471264368,0.91005291005291
18,education,12th,83,0.38461538461538464,0.7142857142857143,0.5
19,education,Doctorate,73,0.8208955223880597,0.9322033898305084,0.873015873015873
20,education,1st-4th,26,1.0,1.0,1.0
21,education,7th-8th,112,0.75,0.42857142857142855,0.5454545454545454
22,education,Preschool,9,1.0,1.0,1.0
23,marital-status,Married-civ-spouse,2822,0.5965260545905707,0.9140684410646388,0.721921921921922
24,marital-status,Divorced,865,0.6022727272727273,0.5760869565217391,0.5888888888888889
25,marital-status,Never-married,1913,0.7125,0.5643564356435643,0.6298342541436464
26,marital-status,Separated,189,0.36363636363636365,0.4444444444444444,0.39999999999999997
27,marital-status,Widowed,174,0.8333333333333334,0.6666666666666666,0.7407407407407408
28,marital-status,Married-AF-spouse,4,1.0,0.3333333333333333,0.5
29,marital-status,Married-spouse-absent,66,0.25,0.3333333333333333,0.28571428571428575
30,occupation,Tech-support,196,0.6144578313253012,0.8793103448275862,0.7234042553191489
31,occupation,Prof-specialty,778,0.713302752293578,0.9147058823529411,0.8015463917525772
32,occupation,Handlers-cleaners,268,0.45,0.391304347826087,0.4186046511627907
33,occupation,Exec-managerial,772,0.7258382642998028,0.9484536082474226,0.8223463687150838
34,occupation,Adm-clerical,774,0.5585106382978723,0.860655737704918,0.6774193548387095
35,occupation,Craft-repair,864,0.4801223241590214,0.7889447236180904,0.596958174904943
36,occupation,Sales,703,0.5709459459459459,0.898936170212766,0.6983471074380165
37,occupation,Other-service,645,0.38461538461538464,0.3125,0.3448275862068966
38,occupation,Machine-op-inspct,367,0.43010752688172044,0.7843137254901961,0.5555555555555556
39,occupation,Farming-fishing,203,0.35,0.6363636363636364,0.45161290322580644
40,occupation,Priv-house-serv,29,1.0,1.0,1.0
41,occupation,Protective-serv,142,0.5131578947368421,0.9069767441860465,0.6554621848739496
42,occupation,Transport-moving,292,0.46218487394957986,0.7638888888888888,0.5759162303664921
43,relationship,Husband,2516,0.5971143174250833,0.9180887372013652,0.7236045729657028
44,relationship,Unmarried,648,0.7096774193548387,0.5,0.5866666666666667
45,relationship,Not-in-family,1549,0.6075949367088608,0.5853658536585366,0.5962732919254657
46,relationship,Own-child,879,1.0,0.38461538461538464,0.5555555555555556
47,relationship,Wife,274,0.6047619047619047,0.9136690647482014,0.7277936962750716
48,relationship,Other-relative,167,0.4,0.3333333333333333,0.3636363636363636
49,race,White,5237,0.6006825938566553,0.8669950738916257,0.7096774193548387
50,race,Asian-Pac-Islander,177,0.5964912280701754,0.8095238095238095,0.6868686868686869
51,race,Black,541,0.6063829787234043,0.8507462686567164,0.7080745341614907
52,race,Other,37,0.25,1.0,0.4
53,race,Amer-Indian-Eskimo,41,0.8,0.5714285714285714,0.6666666666666666
54,sex,Male,4110,0.6009292720702116,0.8831562974203339,0.7152073732718894
55,sex,Female,1923,0.5985401459854015,0.7454545454545455,0.6639676113360324
56,native-country,United-States,5493,0.5965166908563135,0.8634453781512605,0.7055793991416309
57,native-country,Philippines,33,0.7857142857142857,0.9166666666666666,0.8461538461538461
58,native-country,Mexico,109,0.6666666666666666,0.3333333333333333,0.4444444444444444
59,native-country,Vietnam,17,0.4,1.0,0.5714285714285715
60,native-country,Laos,3,1.0,1.0,1.0
61,native-country,Hong,4,1.0,1.0,1.0
62,native-country,Germany,24,1.0,0.8333333333333334,0.9090909090909091
63,native-country,Japan,11,0.8,0.6666666666666666,0.7272727272727272
64,native-country,France,9,0.75,1.0,0.8571428571428571
65,native-country,India,22,0.7,1.0,0.8235294117647058
66,native-country,Dominican-Republic,11,1.0,1.0,1.0
67,native-country,Jamaica,18,0.3333333333333333,1.0,0.5
68,native-country,South,17,0.14285714285714285,1.0,0.25
